name,sex,vowel,stress,pre_word,word,fol_word,F1,F2,F3,F1_lobnorm_unscaled,F2_lobnorm_unscaled,F1_lobnorm_scaled,F2_lobnorm_scaled,B1,B2,B3,t,beg,end,dur,plt_vclass,plt_manner,plt_manner_prob,plt_place,plt_place_prob,plt_voice,plt_voice_prob,plt_preseg,plt_folseq,pre_seg,fol_seg,context,vowel_index,pre_word_trans,word_trans,fol_word_trans,F1@20%,F2@20%,F1@35%,F2@35%,F1@50%,F2@50%,F1@65%,F2@65%,F1@80%,F2@80%,nFormants
CzechSpeakers,M,UH,1,WHAT,WOULD,YOU,385.9,1150.8,2129.8,-1.36545469839,-1.20856601527,344.210983017,1143.20019441,92.2,124.6,283.3,0.863,0.84,0.91,0.07,u,stop,0.653575462634,apical,0.593489360897,voiced,0.829572087564,w/y,,W,D,internal,2,W AH1 T,W UH1 D,Y UW1,381.2,1133.4,383.6,1141.1,383.1,1166.8,363.4,1232.6,353.9,1266.6,5
CzechSpeakers,M,AY,1,YOU,LIKE,TO,575.6,1537.9,2400.2,0.117358487533,-0.25742737187,461.788769059,1382.64701984,138.4,95.8,754.1,1.11,1.08,1.19,0.11,ay0,stop,0.708513535054,velar,0.650286902307,voiceless,0.635930863539,liquid,,L,K,internal,2,Y UW1,L AY1 K,T UW1,525.4,1394.1,553.9,1426.3,560.3,1617.0,436.0,1771.9,357.6,1875.4,4
CzechSpeakers,M,OW,1,TO,KNOW,I,544.6,1301.7,2718.1,-0.124956793245,-0.837791483397,442.574686996,1236.54177528,168.8,297.8,455.8,1.457,1.42,1.58,0.16,owF,,,,,,,nasal_apical,,N,AY1,final,2,T UW1,N OW1,AY1,451.5,1381.6,579.8,1282.6,606.3,1135.9,646.8,1027.9,589.5,967.4,4
CzechSpeakers,M,OW,1,I,DON'T,KNOW,456.3,977.7,1555.0,-0.815164512364,-1.63388789379,387.845543573,1036.12645253,153.4,225.3,299.0,2.046,1.94,2.21,0.27,ow,nasal,0.874224617034,apical,0.616837946053,voiced,0.549907750735,oral_apical,complex_coda,D,N,internal,2,AY1,D OW1 N T,N OW1,459.1,1027.0,497.5,994.5,454.6,870.3,542.9,878.7,514.3,969.8,6
CzechSpeakers,M,OW,1,DON'T,KNOW,SP,467.7,1006.4,1709.8,-0.726055022013,-1.56336947719,394.911367299,1053.8792913,76.5,373.7,436.5,2.526,2.51,2.61,0.1,owF,,,,,,,nasal_apical,,N,,final,2,D OW1 N T,N OW1,,464.6,1003.1,472.9,997.4,443.2,1046.4,380.8,1179.3,350.3,1208.8,6
CzechSpeakers,M,OW,1,JUST,TOLD,YOU,611.8,1422.9,2717.5,0.400320202506,-0.539992455806,484.225858436,1311.51195158,123.6,130.8,585.3,3.47,3.41,3.65,0.24,ow,lateral,0.891571146478,apical,0.613586946149,voiced,0.692584970312,oral_apical,complex_coda,T,L,internal,2,JH IH0 S T,T OW1 L D,Y UW1,555.3,1412.0,620.2,1423.1,635.6,1431.9,626.3,1407.6,618.8,1436.4,4
CzechSpeakers,M,EH,1,SIL,WELL,RIGHT,660.7,1390.1,2543.0,0.782553016378,-0.62058493192,514.534523367,1291.22299297,97.2,122.1,267.6,8.517,8.49,8.57,0.08,e,lateral,0.595314733491,apical,0.901395591837,voiced,0.642751947267,w/y,,W,L,internal,2,SIL,W EH1 L,R AY1 T,649.5,1283.1,657.1,1344.0,654.2,1437.5,663.8,1463.0,661.5,1453.0,4
CzechSpeakers,M,AY,1,WELL,RIGHT,NOW,655.6,1414.5,1988.3,0.742688244379,-0.560631992372,511.373496963,1306.31599876,99.8,132.1,627.8,8.729,8.7,8.8,0.1,ay0,stop,0.836269858016,apical,0.693851416344,voiceless,0.519510885697,liquid,,R,T,internal,2,W EH1 L,R AY1 T,N AW1,581.9,980.6,608.9,1149.7,639.2,1559.9,492.0,1716.8,451.2,1790.2,5
CzechSpeakers,M,AW,1,RIGHT,NOW,I'M,683.3,1600.3,1952.1,0.959208672687,-0.104105100239,528.542209,1421.24552644,107.0,75.5,1273.6,8.933,8.91,9.01,0.1,aw,,,,,,,nasal_apical,,N,AY1,final,2,R AY1 T,N AW1,AY1 M,646.7,1575.0,694.1,1594.0,705.2,1510.2,724.3,1398.8,709.1,1328.3,5
CzechSpeakers,M,IH,1,I'M,SITTING,IN,513.7,1691.5,2606.3,-0.366490411827,0.11998129676,423.422585844,1477.65872841,106.2,261.1,1015.7,9.237,9.22,9.27,0.05,i,stop,0.625978477148,apical,0.549705568997,voiceless,0.846788661004,oral_apical,one_fol_syll,S,T,internal,2,AY1 M,S IH1 T IH0 NG,IH1 N,548.5,1689.6,548.5,1689.6,464.2,1675.4,424.5,1678.8,424.5,1678.8,5
CzechSpeakers,M,UW,1,A,ROOM,SP,373.7,1058.3,1846.9,-1.46081748631,-1.43584662627,336.649312012,1085.98285689,32.1,162.3,176.7,9.607,9.6,9.7,0.1,Tuw,nasal,0.812199196293,labial,0.568230266368,voiced,0.711294519365,liquid,,R,M,internal,2,EY1,R UW1 M,,373.7,1058.3,382.9,1057.8,394.2,1105.4,427.1,1114.5,440.0,1098.5,6
CzechSpeakers,M,IH,1,SP,IN,FRONT,632.4,1694.9,1927.2,0.561342614894,0.128335394894,496.993925871,1479.76185216,203.2,115.5,1412.5,10.153,10.1,10.26,0.16,i,nasal,0.597418043021,apical,0.472503092759,voiced,0.652516372705,,,,N,initial,1,,IH1 N,F R AH1 N T,749.5,1573.7,634.6,1682.0,591.2,1714.4,585.6,1715.7,601.4,1319.2,5
